,Title,Artist
605,Never Be The Same,Camila Cabello
606,Pray For Me,The Weeknd & Kendrick Lamar
607,Perfect,Ed Sheeran
608,New Rules,Dua Lipa
609,God's Plan,Drake
610,Whatever It Takes,Imagine Dragons
611,Lights Down Low,MAX Featuring gnash
612,Wait,Maroon 5
613,Havana,Camila Cabello Featuring Young Thug
614,Say Something,Justin Timberlake Featuring Chris Stapleton
615,Friends,Marshmello & Anne-Marie
616,No Excuses,Meghan Trainor
617,Mine,Bazzi
618,Tell Me You Love Me,Demi Lovato
619,I Like Me Better,Lauv
620,All The Stars,Kendrick Lamar & SZA
621,In My Blood,Shawn Mendes
622,IDGAF,Dua Lipa
623,Want You Back,5 Seconds Of Summer
624,Psycho,Post Malone Featuring Ty Dolla $ign
625,Delicate,Taylor Swift
626,On The Loose,Niall Horan
627,Lemon,N*E*R*D & Rihanna
628,No Roots,Alice Merton
629,Beg,Jack & Jack
630,Alone,Halsey Featuring Big Sean & Stefflon Don
631,Trust Fund Ba,'
632,Sit Next To Me,Foster The People
633,Everyday,Logic & Marshmello
634,Everybody Hates Me,The Chainsmokers
635,Merengue,Kent Jones
636,Stir Fry,Migos
637,Make Me Feel,Janelle Monae
638,Sky Walker,Miguel Featuring Travis Scott
639,Sober Up,AJR Featuring Rivers Cuomo
640,The Middle,"Zedd, Maren Morris & Grey"
641,Never Be The Same,Camila Cabello
642,Meant To Be,Bebe Rexha & Florida Georgia Line
643,God's Plan,Drake
644,Pray For Me,The Weeknd & Kendrick Lamar
645,Whatever It Takes,Imagine Dragons
646,New Rules,Dua Lipa
647,Wait,Maroon 5
648,Finesse,Bruno Mars & Cardi B
649,Mine,Bazzi
650,Friends,Marshmello & Anne-Marie
651,Him & I,G-Eazy & Halsey
652,In My Blood,Shawn Mendes
653,Let You Down,NF
654,Perfect,Ed Sheeran
655,No Excuses,Meghan Trainor
656,I Like Me Better,Lauv
657,All The Stars,Kendrick Lamar & SZA
658,Psycho,Post Malone Featuring Ty Dolla $ign
659,Tell Me You Love Me,Demi Lovato
660,IDGAF,Dua Lipa
661,No Tears Left To Cry,Ariana Grande
662,Delicate,Taylor Swift
663,Want You Back,5 Seconds Of Summer
664,One Kiss,Calvin Harris & Dua Lipa
665,Done For Me,Charlie Puth Featuring Kehlani
666,Alone,Halsey Featuring Big Sean & Stefflon Don
667,On The Loose,Niall Horan
668,No Roots,Alice Merton
669,Sit Next To Me,Foster The People
670,Everyday,Logic & Marshmello
671,Say Something,Justin Timberlake Featuring Chris Stapleton
672,Nice For What,Drake
673,Let Me,Zayn
674,Love Lies,Khalid & Normani
675,Merengue,Kent Jones
676,Sober Up,AJR Featuring Rivers Cuomo
